FE.RM.ID;FE.BDD;FE.VAL;FE.UNITE;FE.Incertitude;FE.LIB1;FE.LIB2;FE.CAT1;FE.DATE-VALID
43450;Base Carbone V23.7;196;kgCO2e/keuro (2023) HT;0,8;ratio monétaire;Services de réparation et installation de machines et d'équipements - 2023;Achats de services;2026
43505;Base Carbone V23.7;82;kgCO2e/keuro (2023) HT;0,8;ratio monétaire;Services de santé humaine - 2023;Achats de services;2026
43390;Base Carbone V23.7;693;kgCO2e/keuro (2023) HT;0,8;ratio monétaire;Services de soutien à la pêche - 2023;Achats de services;2026
43510;Base Carbone V23.7;136;kgCO2e/keuro (2023) HT;0,8;ratio monétaire;Services de télécommunications - 2023;Achats de services;2026
43520;Base Carbone V23.7;6;kgCO2e/keuro (2023) HT;0,8;ratio monétaire;Services des ménages employeurs / Biens et services auto-produits – 2023;Achats de services;2026
43530;Base Carbone V23.7;70;kgCO2e/keuro (2023) HT;0,8;ratio monétaire;Services financiers, hors assurances et caisses de retraite - 2023;Achats de services;2026
43535;Base Carbone V23.7;92;kgCO2e/keuro (2023) HT;0,8;ratio monétaire;Services fournis par des organisations associatives - 2023;Achats de services;2026
43540;Base Carbone V23.7;21;kgCO2e/keuro (2023) HT;0,8;ratio monétaire;Services immobiliers - 2023;Achats de services;2026
43545;Base Carbone V23.7;67;kgCO2e/keuro (2023) HT;0,8;ratio monétaire;Services juridiques et comptables/ services des sièges sociaux/ conseil de gestion - 2023;Achats de services;2026
43550;Base Carbone V23.7;41;kgCO2e/keuro (2023) HT;0,8;ratio monétaire;Services liés à l'emploi - 2023;Achats de services;2026
43555;Base Carbone V23.7;191;kgCO2e/keuro (2023) HT;0,8;ratio monétaire;Services sportifs, récréatifs et de loisirs - 2023;Achats de services;2026
43320;Base Carbone V23.7;110;kgCO2e/keuro (2023) HT;0,8;ratio monétaire;Services vétérinaires - 2023;Achats de services;2026
43560;Base Carbone V23.7;1247;kgCO2e/keuro (2023) HT;0,8;ratio monétaire;Transport par eau - 2023;Achats de services;2026
43565;Base Carbone V23.7;914;kgCO2e/keuro (2023) HT;0,8;ratio monétaire;Transports aériens - 2023;Achats de services;2026
43570;Base Carbone V23.7;319;kgCO2e/keuro (2023) HT;0,8;ratio monétaire;Transports terrestres et transports par conduites - 2023;Achats de services;2026
43575;Base Carbone V23.7;210;kgCO2e/keuro (2023) HT;0,8;ratio monétaire;Travaux d'impression et de reproduction - 2023;Achats de services;2026
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
