"city","latitude","longitude","REG","Libellé","Code","Taux_de_chomage","Taux_bacdeux","Taux_cadres_profs","Taux_activite","Densité","Taux_hlm","Taux_pauvreté","Salaire_mensuel","Densite_cat","LIBELLE","Nom_region","Groupe_region","log_salaire_pred","salaire_pred","residu","erreur_pct","erreur_euro"
"Orange",44.128913537,4.8098792403,93,"Orange",9316,9,12,10.6,76.4,"171,3",10.5,16.7,2269,"Forte","Provence-Alpes-Côte d'Azur","Provence-Alpes-Côte d'Azur","Autres régions",7.73303106249326,2282.5101572027,-0.0059365777134246,-0.591899105468008,-13.5101572026992
"Orléans",47.8828634214,1.91610357477,24,"Orléans",2410,6.6,12.9,18.8,76.5,"145,8",14.6,12.9,2518,"Intermédiaire","Centre-Val de Loire","Centre-Val de Loire","Autres régions",7.83286787288174,2522.1522233258,-0.00164765827744498,-0.164630163374047,-4.15222332580333
"Oyonnax",46.2605435859,5.65344320923,84,"Oyonnax",8425,8.1,10.5,12.5,74.6,"118,9",27.5,18.5,2493,"Intermédiaire","Auvergne-Rhône-Alpes","Auvergne-Rhône-Alpes","Auvergne-Rhône-Alpes",7.8128981555825,2472.28512951884,0.0083439279410523,0.837883552905216,20.7148704811598
"Paris",48.8626304852,2.33629344655,11,"Paris",1109,6.9,9.5,38.7,77.1,"9157,8",23.7,17.8,3768,"Forte","Île-de-France","Île-de-France","Île-de-France",8.23154744233085,3757.64399280317,0.00275219336539993,0.275598412640199,10.356007196835
"Pau",43.3200189773,-0.350337918181,75,"Pau",7522,6,12.6,17.4,75.4,"118,6",10.7,12.8,2568,"Intermédiaire","Nouvelle-Aquitaine","Nouvelle-Aquitaine","Nouvelle-Aquitaine",7.80631133638605,2456.0541483212,0.0445713284238036,4.55795535922185,111.945851678797
"Périgueux",45.1918704873,0.711825549847,75,"Périgueux",7523,6.8,10.2,11,74.5,"48,6",7.3,15.8,2199,"Très faible","Nouvelle-Aquitaine","Nouvelle-Aquitaine","Nouvelle-Aquitaine",7.69434253318201,2195.88961106811,0.00141545737274735,0.141645960535275,3.11038893189198
"Perpignan",42.6965954131,2.89936953979,76,"Perpignan",7620,12.1,10.1,12.2,70.7,"116,2",9.4,21.2,2231,"Intermédiaire","Occitanie","Occitanie","Occitanie",7.71933276663031,2251.45683215369,-0.00912757219777516,-0.908604236223576,-20.4568321536935
"Pithiviers",48.1805102613,2.24994341572,24,"Pithiviers",2411,6.8,10,10.2,78.1,"56,4",11.2,11.8,2376,"Faible","Centre-Val de Loire","Centre-Val de Loire","Autres régions",7.76595813690178,2358.91757206871,0.007215543580757,0.724163834021052,17.0824279312892
"Ploërmel",47.9221801451,-2.38313563666,53,"Ploërmel",5311,5.3,11.4,10.9,76.6,"55,8",4.4,11.2,2190,"Faible","Bretagne","Bretagne","Bretagne",7.71517425329194,2242.1135594132,-0.023517430481397,-2.32430508233661,-52.1135594131993
"Poitiers",46.5839207726,0.359947653003,75,"Poitiers",7524,5.9,11.9,16.4,72.6,"70,9",10.9,14.2,2307,"Faible","Nouvelle-Aquitaine","Nouvelle-Aquitaine","Nouvelle-Aquitaine",7.76316693091145,2352.34252763133,-0.0194636727376975,-1.92754784214978,-45.3425276313292
"Pontarlier",46.9119730882,6.38914602031,27,"Pontarlier",2715,5,12.8,8.8,83.4,"55,1",4.5,6.7,2328,"Faible","Bourgogne-Franche-Comté","Bourgogne-Franche-Comté","Autres régions",7.77795964141074,2387.39869827004,-0.0251948325594176,-2.48800915880049,-59.3986982700421
"Pornic",47.1223972452,-2.05182334479,52,"Pornic",5217,5.6,12.2,10.4,76.5,"144,8",3.9,7.9,2184,"Intermédiaire","Pays de la Loire","Pays de la Loire","Autres régions",7.71320026369396,2237.6920160455,-0.0242869268291697,-2.39943726216562,-53.6920160455006
"Porto-Vecchio",41.5924932873,9.25363087024,94,"Porto-Vecchio",9406,8.5,9.9,9.4,75.6,"30,5",4.5,18.9,2212,"Très faible","Corse","Corse","Corse",7.69280084439073,2192.50684092725,0.0088515182514933,0.88908087805577,19.4931590727488
"Propriano",41.6504172843,8.89378639473,94,"Propriano",9407,7.4,9.4,9.7,73.8,"16,8",4.2,21.4,2119,"Très faible","Corse","Corse","Corse",7.68454356871852,2174.47724763149,-0.025844010450223,-2.55129124445512,-55.4772476314911
"Provins",48.5633093312,3.28756780085,11,"Provins",1110,7.9,9.8,12.6,75.4,"54,7",9.6,12.5,2255,"Faible","Île-de-France","Île-de-France","Île-de-France",7.7540665871884,2331.03251337056,-0.0331613352516237,-3.26175258965485,-76.032513370561
"Quimper",47.9971425162,-4.09111944455,53,"Quimper",5313,6,13.3,13.4,74.7,"144,6",10.4,10.4,2279,"Intermédiaire","Bretagne","Bretagne","Bretagne",7.74436520195279,2308.52760983838,-0.0128731727071097,-1.27906678319706,-29.5276098383756
"Quimperlé",47.8561303355,-3.55642894655,53,"Quimperlé",5314,6.4,12.6,9.9,75.2,"83,3",6.3,10.1,2396,"Faible","Bretagne","Bretagne","Bretagne",7.69542699864078,2198.2722692243,0.08612896059456,8.99468794397689,197.727730775705
"Rambouillet",48.6539051954,1.82652871851,11,"Rambouillet",1111,4.5,14.5,20.4,78.1,"126,8",9.9,5.8,2623,"Intermédiaire","Île-de-France","Île-de-France","Île-de-France",7.89771675989044,2691.13081043835,-0.0256427800235736,-2.53167962605478,-68.1308104383506
"Redon",47.6609734327,-2.08008568692,53,"Redon",62,6.8,10.6,11.3,75.8,"64,8",4.5,12.9,2238,"Faible","Bretagne","Bretagne","Bretagne",7.71540518817889,2242.63140144616,-0.00206729930701903,-0.206516391555467,-4.63140144615636
"Reims",49.2514906066,4.0402302322,44,"Reims",4413,8.4,12.1,17.1,73.3,"134,2",27.5,16.4,2518,"Intermédiaire","Grand Est","Grand Est","Autres régions",7.85788370554995,2586.04175445722,-0.0266634909456633,-2.63111584876573,-68.0417544572233
"Remiremont",48.0013090816,6.58128956332,44,"Remiremont",4414,6.5,10.6,8.8,76.6,"79,1",9.9,13.4,2220,"Faible","Grand Est","Grand Est","Autres régions",7.76163086258781,2348.73194255091,-0.056368387721488,-5.48091249659992,-128.731942550907
"Rennes",48.1119791219,-1.68186449144,53,"Rennes",5315,6,13.5,24.4,75.2,"229,7",13.9,11.2,2594,"Forte","Bretagne","Bretagne","Bretagne",7.85346129259534,2574.63046122489,0.00749507228104951,0.752323064098692,19.3695387751054
"Roanne",46.0449112487,4.0797045647,84,"Roanne",8426,7.1,10.8,11.6,75.5,"110",10.7,14,2303,"Intermédiaire","Auvergne-Rhône-Alpes","Auvergne-Rhône-Alpes","Auvergne-Rhône-Alpes",7.76220721975923,2350.08604123449,-0.0202393199385435,-2.00358797117726,-47.08604123449
"Rochefort",45.9432344536,-0.972356445692,75,"Rochefort",7525,7,11.3,12,76.2,"117,8",8.1,13.1,2231,"Intermédiaire","Nouvelle-Aquitaine","Nouvelle-Aquitaine","Nouvelle-Aquitaine",7.74746988798876,2315.70600083134,-0.0372646935562267,-3.65789097583743,-84.7060008313351
"Rochefort",45.9432344536,-0.972356445692,84,"Rochefort",7525,7,11.3,12,76.2,"117,8",8.1,13.1,2231,"Intermédiaire","Auvergne-Rhône-Alpes","Auvergne-Rhône-Alpes","Auvergne-Rhône-Alpes",7.76430729496916,2355.02658461145,-0.0541021005366274,-5.26646218865976,-124.026584611447
"Rodez",44.3582426254,2.5672793892,76,"Rodez",7621,4.6,13.4,12,77.4,"34,7",4.7,12.8,2288,"Très faible","Occitanie","Occitanie","Occitanie",7.71840178778818,2249.36174886942,0.0170315647115082,1.71774287306163,38.6382511305792
