"code";"Voiture_Pontchaillou_min";"Voiture_Pontchaillou_km";"Voiture_HopitalSud_min";"Voiture_HopitalSud_km";"nom";"communes_etudiees";"longitude";"latitude";"Voiture_min";"Voiture_km";"Velo_Pontchaillou_km";"Velo_HopitalSud_km";"Velo_Pontchaillou_min";"Velo_HopitalSud_min";"Bus_Pontchaillou";"Bus_HopitalSud"
"35";"22004";86;145.2;NA;152.1;"Bégard";TRUE;-3.29148360413761;48.6352678336084;89.1;148.65;131.417280957346;135.79151472469;NA;NA;NA;NA
"36";"22013";86.4;139.3;NA;145.8;"Bourbriac";TRUE;-3.19923819753134;48.4663261075345;88.95;142.55;118.064193519722;122.158035953602;NA;NA;NA;NA
"37";"22020";31.4;51.7;37.9;58.6;"Broons";TRUE;-2.24115056546127;48.3125861075948;34.65;55.15;45.9295235400734;50.3906487094264;NA;NA;NA;NA
"38";"22021";38.7;58;45.2;64.9;"Brusvily";TRUE;-2.11795066657544;48.3940308509312;41.95;61.45;43.8273616953553;48.6539271578638;NA;NA;NA;NA
"39";"22032";28.2;43.5;33.3;50.1;"Caulnes";TRUE;-2.16141892764207;48.3017922770486;30.75;46.8;40.1755210949218;44.7169758867836;NA;NA;NA;NA
"40";"22035";33;50.1;38.4;57.5;"Champs-Géraux";TRUE;-1.9772706312827;48.42603709326;35.7;53.8;40.0518122513935;44.9115627689113;NA;NA;NA;NA
"41";"22050";43.4;55;47.5;62.1;"Dinan";TRUE;-2.05072027237989;48.4463176042357;45.45;58.55;44.9545408221528;49.8325529669452;NA;NA;NA;NA
"42";"22054";67.2;104.9;73.8;112;"Erquy";TRUE;-2.45764718064443;48.6186068946294;70.5;108.45;79.2204966039155;84.0494197585613;NA;NA;NA;NA
"43";"22055";68.2;111.7;75.1;118.9;"Binic-Étables-sur-Mer";TRUE;-2.83875415135883;48.6171876576346;71.65;115.3;101.212056631025;105.819711628023;NA;NA;NA;NA
"44";"22056";35.7;47.2;39.8;54.3;"Évran";TRUE;-1.97912686182113;48.384488182651;37.75;50.75;36.2811939837792;41.1586620767153;NA;NA;NA;NA
"45";"22070";78.3;130.1;84;136.9;"Guingamp";TRUE;-3.15410802591645;48.5612118000483;81.15;133.5;118.777746647355;123.097087105094;NA;NA;NA;NA
"46";"22071";32.2;41.6;37.3;48.1;"Guitté";TRUE;-2.10199656041898;48.2912109431331;34.75;44.85;35.7963401580232;40.3958789319204;NA;NA;NA;NA
"47";"22077";58.2;92.6;63.8;99.5;"Hénansal";TRUE;-2.44715031747925;48.5385350733101;61;96.05;72.6900177678722;77.4506898043682;NA;NA;NA;NA
"48";"22081";57.3;92.6;62.5;99.1;"Hillion";TRUE;-2.64629568775843;48.5028620074268;59.9;95.85;82.4421795561838;86.9935919018311;NA;NA;NA;NA
"49";"22082";40.2;57.4;45.3;64;"Hinglé";TRUE;-2.08217861468364;48.3978623533595;42.75;60.7;42.2768429215522;47.1321555721528;NA;NA;NA;NA
"50";"22083";39.3;55.6;45.7;62.4;"Illifaut";TRUE;-2.33589662832437;48.1449265389204;42.5;59;47.773913195578;51.0759103149945;NA;NA;NA;NA
"51";"22094";52.6;79.3;58;86.7;"Lancieux";TRUE;-2.14774316964409;48.599293510442;55.3;83;63.057022862815;67.9197427898687;NA;NA;NA;NA
"52";"22106";58.2;93.2;63.3;99.7;"Langueux";TRUE;-2.70973239929314;48.4999787008126;60.75;96.45;86.3446441761218;90.8400647171515;NA;NA;NA;NA
"53";"22113";NA;162.7;NA;169.2;"Lannion";TRUE;-3.46217219912152;48.7436830020219;99.1;165.95;148.02673510062;152.475894602306;NA;NA;NA;NA
"54";"22114";38.1;55.4;43.7;62.3;"Lanrelas";TRUE;-2.29515689844556;48.2456008324653;40.9;58.85;46.7821401346393;50.8333392057628;NA;NA;NA;NA
"55";"22118";36.2;51.5;40.7;59;"Lanvallay";TRUE;-2.01085772492571;48.4513373762814;38.45;55.25;43.754057704084;48.6191306268949;NA;NA;NA;NA
"56";"22133";31.5;46.8;36.6;53.4;"Loscouët-sur-Meu";TRUE;-2.25174982780954;48.1767805773546;34.05;50.1;41.9103074302908;45.535338364895;NA;NA;NA;NA
"57";"22136";55.7;87.7;60.9;94.2;"Loudéac";TRUE;-2.75149569248504;48.1738897720039;58.3;90.95;78.8195790449124;82.1400068407655;NA;NA;NA;NA
"58";"22143";70.2;104.9;71.7;100.2;"Matignon";TRUE;-2.29046802840439;48.602204779585;70.95;102.55;69.5109220629543;74.3855329748094;NA;NA;NA;NA
"59";"22145";39.3;58.4;44.9;65.3;"Mégrit";TRUE;-2.26653289648353;48.3893585610816;42.1;61.85;51.9961575983754;56.6632218508065;NA;NA;NA;NA
"60";"22147";37.1;59.2;42.3;65.7;"Merdrignac";TRUE;-2.39645959252885;48.1934767564397;39.7;62.45;52.8219443308572;56.4363143544197;NA;NA;NA;NA
"61";"22162";89.1;140.6;NA;147.1;"Paimpol";TRUE;-3.05617498616121;48.7731652052178;91.7;143.85;124.187697358972;128.863772413394;NA;NA;NA;NA
"62";"22171";62.3;105.3;68.6;112.2;"Plaintel";TRUE;-2.80996267580905;48.4095019785733;65.45;108.75;88.8252315860879;93.0199396376506;NA;NA;NA;NA
"63";"22172";56.3;77;61.5;83.5;"Plancoët";TRUE;-2.21856101409879;48.5142163383333;58.9;80.25;58.6304612882949;63.4952114094539;NA;NA;NA;NA
"64";"22176";61.2;98;67.1;106.1;"Plédran";TRUE;-2.7479051790005;48.4431012012039;64.15;102.05;86.0251527408535;90.3586845286171;NA;NA;NA;NA
"65";"22180";47.5;66.3;52.6;72.8;"Plélan-le-Petit";TRUE;-2.22432105080382;48.4273524316115;50.05;69.55;52.1360121539767;56.918351793316;NA;NA;NA;NA
"66";"22182";71.3;115.7;76.5;122.2;"Plélo";TRUE;-2.92760538219296;48.5538434672432;73.9;118.95;103.352322484104;107.797361091473;NA;NA;NA;NA
"67";"22186";63.1;98.1;68.5;104.8;"Pléneuf-Val-André";TRUE;-2.53017662579101;48.5834391594206;65.8;101.45;80.59251061621;85.3516797346557;NA;NA;NA;NA
"68";"22187";60.7;99.5;65.8;106;"Plérin";TRUE;-2.771877117473;48.5441248559163;63.25;102.75;92.7599994546666;97.2943346590818;NA;NA;NA;NA
"69";"22189";87;134;NA;140.8;"Plésidy";TRUE;-3.12607572633623;48.4411916409785;90.15;137.4;112.050221412968;116.123962216252;NA;NA;NA;NA
"70";"22190";46.7;69.5;50.7;76.6;"Pleslin-Trigavou";TRUE;-2.07120075692664;48.5281635023432;48.7;73.05;53.3584722342489;58.2172797285037;NA;NA;NA;NA
"71";"22197";39.7;55.6;44.3;63;"Pleudihen-sur-Rance";TRUE;-1.94079076094149;48.5093802611678;42;59.3;47.0726857828535;51.8183200942257;NA;NA;NA;NA
"72";"22198";NA;171.5;NA;178;"Pleumeur-Bodou";TRUE;-3.51337253711062;48.7836810082404;106.8;174.75;153.427536396154;157.904393242341;NA;NA;NA;NA
"73";"22207";NA;162.8;NA;169.7;"Plouaret";TRUE;-3.48357633760761;48.6188686420059;99.75;166.25;143.650083508982;147.902712174951;NA;NA;NA;NA
"74";"22208";29.9;37.6;35.1;44.1;"Plouasne";TRUE;-2.00880457967609;48.3122544113137;32.5;40.85;31.7075053575669;36.5159774047828;NA;NA;NA;NA
"75";"22213";41.7;63.5;45.8;70.6;"Plouër-sur-Rance";TRUE;-2.00670800618458;48.5249204582941;43.75;67.05;50.7017179333316;55.5157763105024;NA;NA;NA;NA
"76";"22218";NA;160;NA;166.5;"Plougrescant";TRUE;-3.24094867113677;48.8397725896243;110.6;163.25;139.554843472802;144.212097262644;NA;NA;NA;NA
"77";"22222";78.9;123.6;85.3;130.4;"Plouha";TRUE;-2.9322259302778;48.6821573422926;82.1;127;110.934570238915;115.573556957124;NA;NA;NA;NA
"78";"22225";76.7;128.9;82.4;135.8;"Ploumagoar";TRUE;-3.1099088160397;48.5306131203373;79.55;132.35;114.429824248386;118.714733854788;NA;NA;NA;NA
"79";"22226";NA;171.5;NA;178;"Ploumilliau";TRUE;-3.51383963331553;48.6838280156641;108.4;174.75;148.547671158798;152.889360684247;NA;NA;NA;NA
"80";"22240";33;48.4;38.6;55.3;"Plumaugat";TRUE;-2.23166487322557;48.2455727534352;35.8;51.85;42.3048676235274;46.447175367104;NA;NA;NA;NA
"81";"22251";63.4;105.3;70.3;112.5;"Pordic";TRUE;-2.82983070704161;48.5677761370082;66.85;108.9;97.7790006007394;102.314627993295;NA;NA;NA;NA
"82";"22255";51.7;78.9;56.8;85.4;"Prénessaye";TRUE;-2.64759614825421;48.1849843768048;54.25;82.15;71.2272613570975;74.6421168751206;NA;NA;NA;NA
"83";"22262";68.2;111.3;73.9;118.2;"Quintin";TRUE;-2.91206027201107;48.4026809229521;71.05;114.75;95.6753432639736;99.778281357133;NA;NA;NA;NA
"84";"22263";35.7;44.7;39.8;51.8;"Quiou";TRUE;-2.00082156165535;48.3467168340688;37.75;48.25;34.0149667394941;38.8772714443981;NA;NA;NA;NA
"85";"22272";77.5;129.3;82.6;135.8;"Saint-Agathon";TRUE;-3.10117159070673;48.5630318086644;80.05;132.55;115.30332205147;119.656958231517;NA;NA;NA;NA
"86";"22273";NA;691.3;NA;684.5;"Saint-Alban";TRUE;-2.50764885155509;48.5548383315163;346.25;687.9;77.2990746812103;82.0390496454161;NA;NA;NA;NA
"87";"22274";38.8;47.2;42.8;54.3;"Saint-André-des-Eaux";TRUE;-2.01565317140226;48.3734809602014;40.8;50.75;36.9791818383098;41.8511171511632;NA;NA;NA;NA
"88";"22278";58.2;97.1;65.1;104.3;"Saint-Brieuc";TRUE;-2.76278701133905;48.5145166027847;61.65;100.7;90.5570966783828;95.0416039603306;NA;NA;NA;NA
"89";"22281";67.1;95.7;73.3;102.7;"Saint-Carreuc";TRUE;-2.75002237682948;48.403873876708;70.2;99.2;84.4645192371982;88.6894403491992;NA;NA;NA;NA
"90";"22299";35.6;49.4;39.7;56.5;"Saint-Hélen";TRUE;-1.95890323032651;48.466189823437;37.65;52.95;43.2809050820503;48.0932205648393;NA;NA;NA;NA
