Code postal;Commune;temps_A_min;distance_A_km;temps_B_min;distance_B_km
35221;PLECHATEL;30.0;39.0;24.5;32.2
22176;PLEDRAN;61.2;98.0;67.1;106.1
35222;PLEINE FOUGERES;51.0;61.4;53.3;84.7
35223;PLELAN LE GRAND;26.7;35.7;29.7;40.0
22180;PLELAN LE PETIT;47.5;66.3;52.6;72.8
22182;PLELO;71.3;115.7;76.5;122.2
22186;PLENEUF VAL ANDRE;63.1;98.1;68.5;104.8
35224;PLERGUER;38.3;56.8;42.4;63.9
22187;PLERIN;60.7;99.5;65.8;106.0
35225;PLESDER;27.1;41.0;32.9;48.8
22189;PLESIDY;87.0;134.0;93.3;140.8
22190;PLESLIN TRIGAVOU;46.7;69.5;50.7;76.6
22197;PLEUDIHEN SUR RANCE;39.7;55.6;44.3;63.0
35226;PLEUGUENEUC;26.7;40.4;32.1;47.9
35227;PLEUMELEUC;17.2;21.2;22.3;27.7
22198;PLEUMEUR BODOU;104.2;171.5;109.4;178.0
35228;PLEURTUIT;47.6;72.8;53.1;80.2
56162;PLOEMEUR;95.4;157.5;98.5;161.8
56164;PLOEREN;73.5;119.2;76.6;123.6
56165;PLOERMEL;42.7;67.3;47.1;71.9
29170;PLOMELIN;132.4;220.0;135.4;224.3
22207;PLOUARET;96.8;162.8;102.7;169.7
22208;PLOUASNE;29.9;37.6;35.1;44.1
56166;PLOUAY;98.4;147.9;103.1;153.0
29183;PLOUEGAT MOYSAN;95.0;164.8;101.9;172.0
22213;PLOUER SUR RANCE;41.7;63.5;45.8;70.6
29186;PLOUEZOC H;113.6;189.7;119.8;196.5
29189;PLOUGASTEL DAOULAS;138.1;226.8;143.2;233.3
22218;PLOUGRESCANT;108.0;160.0;113.2;166.5
22222;PLOUHA;78.9;123.6;85.3;130.4
56168;PLOUHARNEL;87.7;141.0;90.8;145.3
22225;PLOUMAGOAR;76.7;128.9;82.4;135.8
22226;PLOUMILLIAU;105.8;171.5;111.0;178.0
22240;PLUMAUGAT;33.0;48.4;38.6;55.3
56177;PLUVIGNER;83.9;130.6;87.3;135.3
35229;POCE LES BOIS;34.5;46.8;27.3;37.1
2B242;POGGIO MEZZANA;999.3;1471.2;992.1;1461.6
78498;POISSY;189.8;355.9;182.6;346.2
86194;POITIERS;182.9;335.7;177.6;328.9
35231;POLIGNE;23.2;31.6;17.7;24.7
17284;PONT L ABBE D ARNOULT;186.8;300.7;183.0;294.2
35363;PONT PEAN;16.0;17.6;10.5;10.8
44130;PONT ST MARTIN;82.4;126.7;77.9;120.7
56178;PONTIVY;68.5;109.1;73.6;115.6
50410;PONTORSON;51.3;80.3;50.3;80.2
56180;PORCARO;37.7;52.2;40.8;56.5
22251;PORDIC;63.4;105.3;70.3;112.5
44132;PORNICHET;93.6;138.9;88.1;132.1
53182;PORT BRILLET;45.9;69.2;40.3;59.9
56181;PORT LOUIS;94.9;151.9;97.9;156.2
14516;POTIGNY;110.0;210.1;109.0;210.0
76509;PREAUX;177.6;331.8;175.2;331.3
72244;PRECIGNE;92.9;154.8;87.9;145.5
61339;PUTANGES LE LAC;138.8;178.7;133.6;169.4
35233;QUEBRIAC;25.4;32.4;30.0;39.9
35234;QUEDILLAC;25.6;39.1;30.8;45.6
56184;QUESTEMBERT;63.1;96.5;66.2;100.8
29232;QUIMPER;126.7;214.2;130.1;218.9
22262;QUINTIN;68.2;111.3;73.9;118.2
61344;RANES;113.6;165.8;104.6;157.6
35235;RANNEE;39.3;52.9;33.6;43.5
35236;REDON;46.3;68.1;45.4;68.0
50429;REGNEVILLE SUR MER;89.8;141.7;87.4;141.3
53188;RENAZE;50.8;77.7;43.4;68.0
35238;RENNES;5.1;2.6;11.0;5.3
35239;RETIERS;29.6;42.0;22.3;32.4
61349;RI;;;;
35242;RIMOU;36.3;45.7;37.2;49.9
37203;ROCHECORBON;136.7;260.9;129.2;251.3
35243;ROMAGNE;264.2;491.2;259.0;484.4
35245;ROMILLE;17.1;20.3;22.2;26.8
59512;ROUBAIX;302.2;584.9;299.6;584.4
76540;ROUEN;164.1;317.4;163.3;317.3
44146;ROUGE;45.3;56.7;38.9;44.9
27497;ROUGEMONTIERS;144.6;279.9;143.8;279.8
17306;ROYAN;204.9;321.8;199.4;315.0
35246;ROZ LANDRIEUX;41.4;64.5;46.0;71.9
56200;RUFFIAC;288.7;553.3;283.2;546.4
35248;SAINS;297.1;553.1;290.5;559.6
64499;SALIES DE BEARN;351.7;664.1;346.2;657.2
2B305;SAN MARTINO DI LOTA;995.5;1475.0;964.7;1426.0
59553;SANTES;294.0;573.4;293.2;573.3
35321;SAULNIERES;163.3;300.4;156.1;290.8
44194;SAUTRON;70.2;112.8;64.8;105.9
45308;SEMOY;184.9;310.2;177.4;300.6
56243;SENE;72.3;113.7;75.7;118.4
35326;SENS DE BRETAGNE;27.6;36.1;29.9;40.6
35327;SERVON SUR VILAINE;21.3;27.9;14.1;18.3
22337;SEVIGNAC;38.7;63.1;45.2;69.9
72336;SOLESMES;291.3;551.6;289.0;551.2
14675;SOLIERS;102.0;193.2;99.6;192.8
22272;ST AGATHON;77.5;129.3;82.6;135.8
22273;ST ALBAN;349.0;691.3;343.5;684.5
18197;ST AMAND MONTROND;232.2;460.2;225.0;450.5
22274;ST ANDRE DES EAUX;38.8;47.2;42.8;54.3
44151;ST ANDRE DES EAUX;38.8;47.2;42.8;54.3
21540;ST APOLLINAIRE;316.8;633.4;309.6;623.7
35250;ST ARMEL;16.8;20.8;11.1;11.5
35251;ST AUBIN D AUBIGNE;192.3;328.4;188.5;322.0
44153;ST AUBIN DES CHATEAUX;51.1;60.6;45.6;53.8
35252;ST AUBIN DES LANDES;32.8;45.6;27.3;36.3
35253;ST AUBIN DU CORMIER;24.1;34.1;23.0;34.0
56206;ST AVE;69.8;107.8;73.2;112.5
49267;ST BARTHELEMY D ANJOU;412.5;806.3;404.9;796.6
35255;ST BENOIT DES ONDES;48.7;71.0;52.8;78.0
22278;ST BRIEUC;58.2;97.1;65.1;104.3
35258;ST BRIEUC DES IFFS;22.8;28.4;26.9;35.4
35259;ST BROLADRE;50.1;77.2;56.0;85.0
56210;ST CARADEC TREGOMEL;97.2;140.8;102.3;147.3
22281;ST CARREUC;67.1;95.7;73.3;102.7
91540;ST CHERON;297.7;554.5;290.5;544.9
50461;ST CYR;116.0;213.4;113.6;213.0
78545;ST CYR L ECOLE;177.3;335.0;170.0;325.4
53211;ST DENIS DE GASTINES;60.1;84.2;59.1;84.1
35264;ST DIDIER;285.9;559.2;277.9;549.5
56212;ST DOLAY;60.8;87.1;59.4;87.3
35265;ST DOMINEUC;25.3;35.2;29.4;42.3
53213;ST ELLIER DU MAINE;49.6;69.8;47.3;69.4
35266;ST ERBLON;18.1;19.2;11.4;8.8
76575;ST ETIENNE DU ROUVRAY;158.5;307.9;156.2;307.4
29247;ST EVARZEC;123.2;205.0;126.3;209.3
35271;ST GEORGES DE REINTEMBAULT;48.5;75.9;46.1;75.4
35272;ST GERMAIN DU PINEL;38.4;54.8;31.2;45.2
35273;ST GERMAIN EN COGLES;35.7;57.0;34.7;56.9
53224;ST GERMAIN LE FOUILLOUX;56.8;85.3;51.3;76.0
35274;ST GERMAIN SUR ILLE;19.8;24.9;22.0;29.4
35275;ST GILLES;255.8;483.8;250.7;474.5
35276;ST GONDRAN;20.5;26.5;25.0;33.9
35277;ST GONLAY;27.9;35.0;33.0;41.5
35278;ST GREGOIRE;8.9;6.1;15.8;16.5
22299;ST HELEN;35.6;49.4;39.7;56.5
35280;ST HILAIRE DES LANDES;34.2;50.0;31.9;49.6
50484;ST HILAIRE DU HARCOUET;59.8;97.2;57.5;96.7
35281;ST JACQUES DE LA LANDE;9.8;7.9;9.8;7.6
56221;ST JACUT LES PINS;54.3;77.5;52.9;77.6
50487;ST JAMES;41.0;68.9;38.6;68.4
56222;ST JEAN BREVELAY;65.7;99.6;68.7;103.9
45284;ST JEAN DE BRAYE;189.0;315.9;181.8;306.3
49288;ST JEAN DE LA CROIX;98.8;145.2;91.2;135.6
56223;ST JEAN LA POTERIE;52.6;73.1;51.1;73.3
35283;ST JEAN SUR VILAINE;27.7;34.4;20.5;24.7
22305;ST JOUAN DE L ISLE;25.8;41.8;32.7;49.0
35284;ST JOUAN DES GUERETS;41.4;63.4;45.5;70.4
22306;ST JUDOCE;32.1;42.7;38.0;50.5
22307;ST JULIEN;337.7;650.3;328.7;641.4
35285;ST JUST;274.2;451.1;268.9;444.3
22308;ST JUVAT;35.0;44.1;41.9;51.4
50505;ST LOUP;258.8;465.8;251.1;456.2
35287;ST LUNAIRE;51.0;77.0;56.4;84.4
35288;ST MALO;48.4;70.9;52.4;78.0
56226;ST MALO DE BEIGNON;34.8;48.2;37.9;52.5
35289;ST MALO DE PHILY;31.0;37.1;28.4;38.1
13095;ST MARC JAUMEGARDE;529.7;1048.9;522.4;1039.2
35292;ST MARC LE BLANC;36.9;45.8;34.7;45.4
53238;ST MARS SUR LA FUTAIE;55.0;74.4;52.7;73.9
38421;ST MARTIN D HERES;440.3;891.4;433.1;881.8
29254;ST MARTIN DES CHAMPS;238.2;433.8;233.1;424.4
60587;ST MARTIN LONGUEAU;228.9;432.3;221.2;422.7
35295;ST MAUGAN;27.9;37.5;33.0;44.1
33449;ST MEDARD EN JALLES;249.9;475.2;244.4;468.3
35296;ST MEDARD SUR ILLE;24.6;29.3;25.6;33.5
35297;ST MEEN LE GRAND;28.2;44.1;35.1;51.3
35299;ST MELOIR DES ONDES;45.3;67.6;49.4;74.7
42265;ST MICHEL SUR RHONE;401.6;771.5;394.4;761.9
44184;ST NAZAIRE;88.7;129.5;84.8;123.0
44185;ST NICOLAS DE REDON;46.8;69.7;45.3;69.9
56231;ST NOLFF;62.2;101.0;66.6;105.7
35302;ST ONEN LA CHAPELLE;27.8;41.7;33.4;48.5
35304;ST OUEN DES ALLEUX;31.7;41.1;29.4;40.6
97415;ST PAUL;333.9;669.4;326.7;659.8
35305;ST PERAN;26.7;33.5;31.1;38.1
35307;ST PERN;27.3;35.4;32.5;41.9
56233;ST PHILIBERT;320.5;633.8;315.4;624.5
53247;ST PIERRE LA COUR;43.0;61.3;35.8;51.6
45298;ST PRYVE ST MESMIN;184.1;356.3;176.1;346.7
35309;ST REMY DU PLAIN;34.1;41.3;35.0;45.5
22327;ST SAMSON SUR RANCE;41.4;56.8;45.5;63.9
53253;ST SATURNIN DU LIMET;53.7;80.8;46.3;71.1
35310;ST SAUVEUR DES LANDES;31.2;46.6;28.9;46.1
44190;ST SEBASTIEN SUR LOIRE;75.3;119.8;71.2;113.3
35311;ST SEGLIN;37.7;49.5;38.1;50.0
35312;ST SENOUX;27.4;32.4;26.1;32.6
56236;ST SERVANT;51.7;78.1;54.8;82.4
35314;ST SULIAC;41.9;63.4;46.0;70.5
35315;ST SULPICE LA FORET;20.3;22.8;21.2;26.9
35317;ST SYMPHORIEN;141.7;265.9;140.9;265.8
35318;ST THUAL;27.4;36.3;32.8;43.7
35319;ST THURIAL;19.8;23.5;22.9;27.8
35320;ST UNIAC;22.9;30.6;28.1;37.1
40284;ST VINCENT DE TYROSSE;322.8;622.0;317.3;615.2
22333;ST VRAN;44.7;67.6;49.9;74.2
35249;STE ANNE SUR VILAINE;43.5;58.4;38.0;51.5
35262;STE COLOMBE;182.5;338.7;180.2;338.3
69202;STE FOY LES LYON;374.3;740.7;368.7;731.4
85216;STE GEMME LA PLAINE;122.5;211.6;117.1;204.8
44172;STE LUCE SUR LOIRE;71.4;113.8;65.9;107.0
35294;STE MARIE;300.2;558.7;293.0;549.1
67482;STRASBOURG;418.1;835.8;410.9;826.2
44201;SUCE SUR ERDRE;65.8;104.0;62.0;97.5
56248;SURZUR;75.3;122.8;78.3;127.1
35330;TAILLIS;42.1;58.3;34.9;48.6
35331;TALENSAC;19.8;23.7;24.2;28.4
56249;TAUPONT;49.2;73.5;52.3;77.8
35332;TEILLAY;38.1;48.9;32.6;42.1
14685;THAON;107.0;190.4;104.3;190.0
56251;THEIX NOYALO;69.1;115.7;72.5;120.4
18263;THENIOUX;194.5;370.8;189.1;361.5
35334;THORIGNE FOUILLARD;17.2;17.1;12.6;12.9
44204;THOUARE SUR LOIRE;75.9;119.6;70.4;112.8
35335;THOURIE;35.1;44.7;29.4;35.3
35337;TINTENIAC;21.7;30.3;27.1;37.7
35338;TORCE;30.3;42.8;23.1;33.2
54528;TOUL;353.2;713.1;346.0;703.4
37261;TOURS;134.2;260.4;128.9;251.1
22341;TRAMAIN;39.9;66.0;46.4;72.9
35340;TREFFENDEL;23.0;29.7;26.0;34.0
35342;TREMEHEUC;34.7;43.8;38.8;50.9
22371;TREMOREL;33.5;51.1;38.7;57.7
35343;TRESBOEUF;30.8;40.7;23.5;31.0
35345;TREVERIEN;30.5;40.1;34.6;47.1
22380;TREVRON;41.7;58.0;47.3;64.9
35346;TRIMER;24.3;33.3;30.2;41.1
35347;VAL D IZE;86.6;131.8;79.4;122.2
54547;VANDOEUVRE LES NANCY;363.6;722.1;356.3;712.4
56260;VANNES;70.0;112.9;73.1;117.3
14739;VER SUR MER;116.3;208.4;115.3;208.3
37267;VERETZ;145.3;271.5;138.1;261.8
35350;VERGEAL;33.2;47.1;26.0;37.5
35352;VERN SUR SEICHE;15.4;17.0;8.0;7.3
49368;VERNANTES;118.9;199.5;111.5;189.8
78642;VERNEUIL SUR SEINE;193.5;360.8;186.2;351.2
44215;VERTOU;78.1;123.8;73.6;116.8
35353;VEZIN LE COQUET;10.5;10.5;16.1;17.4
60674;VIEUX MOULIN;237.5;444.8;232.4;435.5
35355;VIEUX VY SUR COUESNON;31.2;38.9;32.1;43.0
35356;VIGNOC;17.9;20.2;22.5;27.6
22388;VILDE GUINGALAN;46.7;64.5;51.9;71.0
35357;VILLAMEE;43.7;67.6;41.3;67.1
77516;VILLE ST JACQUES;213.8;409.5;206.6;399.9
69264;VILLEFRANCHE SUR SAONE;366.5;748.6;359.3;738.9
33550;VILLENAVE D ORNON;478.7;940.6;470.5;930.9
44218;VILLEPOT;40.1;60.5;32.7;50.8
54578;VILLERS LES NANCY;360.7;727.8;352.9;718.1
94080;VINCENNES;189.3;357.6;182.1;347.9
35359;VISSEICHE;40.7;44.5;33.3;34.8
35360;VITRE;36.0;48.9;30.5;39.6
22389;YFFINIAC;54.1;89.9;59.2;96.5
