Code postal;Commune;temps_A_min;distance_A_km;temps_B_min;distance_B_km
35070;CHATEAUNEUF D ILLE ET VILAINE;644.2;1132.1;637.0;1122.5
92019;CHATENAY MALABRY;179.6;346.2;172.3;336.6
35072;CHATILLON EN VENDELAIS;42.6;55.2;37.6;52.8
53064;CHATILLON SUR COLMONT;66.7;92.1;65.6;92.0
72073;CHAUFOUR NOTRE DAME;88.0;159.9;80.8;150.3
44038;CHAUVE;98.6;153.2;93.1;146.4
35076;CHAVAGNE;15.9;13.5;15.4;16.2
69052;CHAZAY D AZERGUES;364.4;728.9;357.0;719.2
35077;CHELUN;43.1;59.9;35.7;50.2
50129;CHERBOURG EN COTENTIN;135.0;237.9;132.7;237.5
35079;CHEVAIGNE;16.7;19.2;18.9;23.7
94021;CHEVILLY LARUE;177.0;344.8;169.8;335.2
49099;CHOLET;103.7;167.4;98.2;160.6
37077;CINQ MARS LA PILE;133.2;234.4;127.8;225.1
31145;CINTEGABELLE;387.7;752.0;382.2;745.2
35080;CINTRE;17.6;18.2;23.4;25.5
92023;CLAMART;180.5;346.2;173.3;336.5
35081;CLAYES;16.8;16.1;22.4;23.0
29030;CLEDER;126.7;211.8;131.9;218.3
29031;CLOHARS CARNOET;105.2;169.1;108.3;173.4
35082;COESMES;33.5;45.4;26.2;35.7
35084;COMBLESSAC;39.1;51.7;42.4;54.3
35085;COMBOURG;29.3;39.6;35.1;47.4
35086;COMBOURTILLE;38.9;47.3;36.6;46.9
79096;COMBRAND;120.3;195.6;114.8;188.8
29039;CONCARNEAU;119.4;199.9;124.1;205.0
56043;CONCORET;39.9;57.7;42.4;52.8
78172;CONFLANS STE HONORINE;199.2;361.4;192.0;351.8
14181;CORMELLES LE ROYAL;99.3;190.7;98.3;190.6
35087;CORNILLE;301.4;477.8;295.9;471.0
35088;CORPS NUDS;19.2;24.4;13.6;15.1
44047;COUERON;79.1;122.9;73.7;116.1
92026;COURBEVOIE;188.6;356.9;181.4;347.3
50146;COURTILS;48.5;83.6;46.2;83.1
50147;COUTANCES;85.3;139.3;83.0;138.8
56046;CRACH;80.9;132.9;85.3;137.6
14197;CRESSERONS;106.0;198.2;105.0;198.1
35090;CREVIN;18.6;26.1;14.8;19.7
59163;CROIX;299.9;581.1;297.5;580.7
61140;CRULAI;144.9;263.8;137.7;254.2
13030;CUGES LES PINS;547.4;1083.4;539.9;1073.8
35092;CUGUEN;39.3;48.1;43.4;55.2
56052;DAMGAN;83.8;133.0;86.4;137.7
44051;DERVAL;36.8;57.2;33.0;50.7
21231;DIJON;315.1;627.4;307.9;617.7
22050;DINAN;43.4;55.0;47.5;62.1
35093;DINARD;50.6;74.3;54.7;81.4
35094;DINGE;29.7;37.4;33.8;44.4
44029;DIVATTE SUR LOIRE;84.1;129.8;80.0;123.3
35095;DOL DE BRETAGNE;44.9;69.1;48.9;76.2
35096;DOMAGNE;26.7;34.5;19.5;24.8
35097;DOMALAIN;40.7;57.1;33.5;47.4
35099;DOMLOUP;24.1;28.0;15.3;15.1
54165;DOMMARTEMONT;370.0;740.9;365.0;731.6
17142;DOMPIERRE SUR MER;153.6;251.1;149.8;244.6
